"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"371",2010-01-17,0.12582562465898,0.111048157513142,187.8,39,28.5547395833333,0.207667731629393,0.00520833333333333,1,2010
"372",2010-01-25,0.12193984634036,0.101267884174983,192,1,28.7685416666667,0.00520833333333333,0.145833333333333,1,2010
"373",2010-02-02,0.106431979375581,0.100473353018363,192,28,29.1202604166667,0.145833333333333,0.177083333333333,2,2010
"374",2010-02-10,0.119855305501099,0.106093443930149,192,34,29.2551041666667,0.177083333333333,0.588541666666667,2,2010
"375",2010-02-18,0.159453471856458,0.141352747877439,192,113,29.4569270833333,0.588541666666667,0.989583333333333,2,2010
"376",2010-02-26,0.132668900665724,0.106576508531968,192,190,29.5880208333333,0.989583333333333,0.432291666666667,2,2010
"377",2010-03-06,0.137085872081419,0.136307959755262,192,83,29.8205208333333,0.432291666666667,0.0109829763866008,3,2010
"378",2010-03-14,0.118900791897128,0.11268471305569,182.1,2,30.10078125,0.0109829763866008,0.0159829515183804,3,2010
"379",2010-03-22,0.110793604173212,0.109965085983276,187.7,3,30.07984375,0.0159829515183804,0.109375,3,2010
"380",2010-03-30,0.104427592518429,0.0828777253627777,192,21,30.267890625,0.109375,0.0104166666666667,3,2010
"381",2010-04-07,0.0991876559952895,0.0776835965613524,192,2,30.311796875,0.0104166666666667,0.00520833333333333,4,2010
"382",2010-04-15,0.122900540578283,0.106650066872438,192,1,29.813671875,0.00520833333333333,0.109375,4,2010
"383",2010-04-23,0.180541545463105,0.173924314479033,192,21,28.9554427083333,0.109375,NA,4,2010
"384",2010-05-01,0.173107859685267,0.169708860417207,48.4,30,28.6488020833333,NA,0.219546742209632,5,2010
"385",2010-05-09,0.232682613944504,0.237029669185479,141.2,31,28.6349739583334,0.219546742209632,0.171875,5,2010
"386",2010-05-17,0.191853976498048,0.176235422492027,192,33,28.2658333333333,0.171875,0.848958333333333,5,2010
"387",2010-05-25,0.246853142459359,0.20219444980224,192,163,28.094765625,0.848958333333333,0.5,5,2010
"388",2010-06-02,0.225799483341583,0.168532314399878,192,96,27.9929166666667,0.5,0.390828556539864,6,2010
"389",2010-06-10,0.201865216975825,0.209461716314157,191.9,75,28.1240625,0.390828556539864,0.0677083333333333,6,2010
"390",2010-06-18,0.229192400068948,0.158255015810331,192,13,28.0599479166667,0.0677083333333333,0.00520833333333333,6,2010
"391",2010-06-26,0.14331436327969,0.126738658795754,192,1,28.1467708333333,0.00520833333333333,0,6,2010
"392",2010-07-04,0.134328218073481,0.111859777321418,192,0,28.073515625,0,0,7,2010
"393",2010-07-12,0.146424180478789,0.167000249028206,192,0,27.8647395833333,0,0,7,2010
"394",2010-07-20,0.174172191570203,0.141899921000004,192,0,27.692109375,0,0,7,2010
"395",2010-07-28,0.148143992604067,0.135593218108018,192,0,28.044140625,0,0.0104166666666667,7,2010
"396",2010-08-05,0.116262965111269,0.113101946810881,192,2,28.019375,0.0104166666666667,0,8,2010
"397",2010-08-13,0.144462978576913,0.12658745298783,192,0,28.0437760416667,0,0.00520833333333333,8,2010
"398",2010-08-21,0.139342169557418,0.128726695974668,192,1,27.763125,0.00520833333333333,0,8,2010
"399",2010-08-29,0.103580713323835,0.0950530307988326,192,0,27.915625,0,0.208333333333333,8,2010
"400",2010-09-06,0.130664295330644,0.108379686872164,192,40,27.742265625,0.208333333333333,0.0572916666666667,9,2010
"401",2010-09-14,0.137632588841139,0.112773923575878,192,11,27.5986197916666,0.0572916666666667,0.0677083333333333,9,2010
"402",2010-09-22,0.128975115716457,NA,192,13,27.6322395833333,0.0677083333333333,0.135416666666667,9,2010
"403",2010-09-30,0.145073350341547,0.130901902914047,192,26,27.7430729166667,0.135416666666667,0.130208333333333,9,2010
"404",2010-10-08,0.109707769316932,0.0976655855774879,192,25,27.8714322916667,0.130208333333333,0.0572916666666667,10,2010
"405",2010-10-16,0.135166312743734,0.130398957679669,192,11,28.247890625,0.0572916666666667,0.177083333333333,10,2010
"406",2010-10-24,0.0975972779845591,0.0916573392848174,192,34,28.5701302083333,0.177083333333333,0.541666666666667,10,2010
"407",2010-11-01,0.119171174450053,0.0965940455595652,192,104,28.6181770833333,0.541666666666667,0.963541666666667,11,2010
"408",2010-11-09,0.142025308237529,0.13815634449323,192,185,28.7570572916667,0.963541666666667,0.953125,11,2010
"409",2010-11-17,0.131461618519906,0.0934452824294567,192,183,28.7185677083333,0.953125,0.802083333333333,11,2010
"410",2010-11-25,0.127118760254234,0.101202949881554,192,154,28.7283072916666,0.802083333333333,0.296875,11,2010
"411",2010-12-03,0.160195268897547,0.150593454639117,192,57,28.9115625,0.296875,0.015625,12,2010
"412",2010-12-11,0.160491596338236,0.147408979634444,192,3,28.3079166666666,0.015625,0.260416666666667,12,2010
"413",2010-12-19,0.180539724313551,0.17329457650582,192,50,27.5318229166667,0.260416666666667,0.00833333333333333,12,2010
"414",2010-12-27,0.155171837164637,0.156750870247682,120,1,27.2614583333333,0.00833333333333333,0.00520833333333333,12,2010
"415",2011-01-01,0.20261931926426,0.193362032373746,192,1,27.4329947916667,0.00520833333333333,0,1,2011
"416",2011-01-09,0.232923516058835,0.211425897975763,192,0,27.4807552083333,0,0,1,2011
"417",2011-01-17,0.312870196791159,0.270162080725034,192,0,27.67625,0,0,1,2011
"418",2011-01-25,0.386848017883797,0.388944461941719,192,0,27.7315104166667,0,0,1,2011
"419",2011-02-02,NA,NA,192,0,27.9588541666667,0,0,2,2011
"420",2011-02-10,0.186946011044913,0.181436819334825,192,0,28.5797916666667,0,0,2,2011
"421",2011-02-18,0.18514342714722,0.173076162735621,192,0,28.6421875,0,0,2,2011
"422",2011-02-26,0.17087928604492,0.17024335761865,192,0,28.5369270833333,0,0,2,2011
"423",2011-03-06,0.141604870818295,0.129246259729067,192,0,28.7249739583333,0,0,3,2011
"424",2011-03-14,0.156435348610911,0.149523024757703,192,0,28.77234375,0,0,3,2011
"425",2011-03-22,0.146949705719534,0.138994882504145,192,0,29.3894010416667,0,0,3,2011
