"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"159",2005-06-10,0.181366158471931,0.187097941835721,192,44,27.2421527777778,0.229166666666667,0.84375,6,2005
"160",2005-06-18,0.199359698417764,0.174784623086452,192,162,26.6369097222222,0.84375,0.890625,6,2005
"161",2005-06-26,0.239960914709159,0.232236263652643,192,171,26.4601909722222,0.890625,0.838541666666667,6,2005
"162",2005-07-04,0.255524393594907,0.27787509560585,192,161,26.1375694444444,0.838541666666667,0.770833333333333,7,2005
"163",2005-07-12,0.232832010290245,0.238727428019047,192,148,26.0575,0.770833333333333,0.640625,7,2005
"164",2005-07-20,0.259400406532739,0.266746049125989,192,123,26.2714236111111,0.640625,0.791666666666667,7,2005
"165",2005-07-28,0.236098533992231,0.260558128356934,192,152,26.3525520833333,0.791666666666667,0.99468085106383,7,2005
"166",2005-08-05,0.229701094374512,0.238224076728026,188,187,26.2701388888889,0.99468085106383,0.984366857738405,8,2005
"167",2005-08-13,0.244085267364622,0.23311714331309,191.9,188.9,26.3940625,0.984366857738405,0.895779051589369,8,2005
"168",2005-08-21,0.209780306333587,0.1955874239405,191.9,171.9,26.6150868055556,0.895779051589369,0.963541666666667,8,2005
"169",2005-08-29,0.21415251876781,0.189078244070212,192,185,26.84765625,0.963541666666667,0.979166666666667,8,2005
"170",2005-09-06,0.161905782665321,0.157447998722394,192,188,27.6175347222222,0.979166666666667,0.645833333333333,9,2005
"171",2005-09-14,0.132790215313435,0.129840414971113,192,124,27.7574826388889,0.645833333333333,0.734375,9,2005
"172",2005-09-22,0.138016025136624,0.125751052051783,192,141,27.5500347222222,0.734375,0.53125,9,2005
"173",2005-09-30,0.167004616744816,0.15650491664807,192,102,27.4899826388889,0.53125,0.875,9,2005
"174",2005-10-08,0.12636024146699,0.132732075452805,192,168,27.8347395833333,0.875,0.885416666666667,10,2005
"175",2005-10-16,0.112796674053112,0.0984229917327563,192,170,27.9313888888889,0.885416666666667,0.567708333333333,10,2005
"176",2005-10-24,0.183518513726691,0.152296185493469,192,109,27.8575694444444,0.567708333333333,0.015625,10,2005
"177",2005-11-01,0.163201542364226,NA,192,3,27.5595486111111,0.015625,0,11,2005
"178",2005-11-09,0.160166522679907,0.155969299376011,192,0,27.8169270833333,0,0,11,2005
"179",2005-11-17,0.141580697700117,0.133328425387541,192,0,27.9479166666667,0,0,11,2005
"180",2005-11-25,0.150581633594967,0.145707050959269,192,0,28.5760069444444,0,0,11,2005
"181",2005-12-03,0.16543252651508,0.135496084888776,192,0,28.7200868055556,0,0,12,2005
"182",2005-12-11,0.224324228970901,0.252637398739656,192,0,28.5857465277778,0,0,12,2005
"183",2005-12-19,0.164644117274228,0.165259659290314,191.6,0,28.5986805555556,0,0.0166666666666667,12,2005
"184",2005-12-27,0.228972263001149,0.22543744246165,120,2,28.0055,0.0166666666666667,0,12,2005
"185",2006-01-01,0.285073049735315,0.277893647551537,192,0,28.1862847222222,0,0.0104166666666667,1,2006
"186",2006-01-09,0.127585774122258,0.116906697551409,192,2,28.8075,0.0104166666666667,0,1,2006
